KONCESSION,Spanning,Enhet,FöretagNa,kommunkod,kommunnamn,Företagsnamn,Hemsida,Emailadress,Telefonnummer,Adress
100Z,20,REL00590,LKAB Nät AB,"2584",Kiruna,LKAB Nät AB,lkab.com/vilka-vi-ar/lkab-nat,kundtjanstlkabnat@vattenfall.com,0920-773 31,"Box 952, 971 28 Luleå"
4157AE,20,REL00083,Jukkasjärvi Sockens Belysningsförening u.p.a.,"2584",Kiruna,Jukkasjärvi Sockens Belysningsförening u.p.a.,jbf.nu,info@jbf.nu,0980-101 35,"Kauppinen 181, 981 92 Kiruna"
8600K,20,REL03030,Vattenfall Eldistribution AB,"2584",Kiruna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600L,20,REL03030,Vattenfall Eldistribution AB,"2584",Kiruna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600S,20,REL03030,Vattenfall Eldistribution AB,"2584",Kiruna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
294IT,20,REL00015,Bodens Energi Nät AB,"2510",Jokkmokk,Bodens Energi Nät AB,bodensenergi.se,info@bodensenergi.se,0921-582 00,"Slipvägen 7, 961 38 Boden"
8600B,20,REL03030,Vattenfall Eldistribution AB,"2510",Jokkmokk,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600E,20,REL03030,Vattenfall Eldistribution AB,"2510",Jokkmokk,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600F,20,REL03030,Vattenfall Eldistribution AB,"2510",Jokkmokk,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600I,20,REL03030,Vattenfall Eldistribution AB,"2510",Jokkmokk,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"10870",52,REL00008,Bergs Tingslags Elektriska AB,"2361",Härjedalen,Bergs Tingslags Elektriska AB,btea.se,info@btea.se,0771-44 44 41,"Olstavägen 26, 845 51 Åsarna"
1517DP,20,REL03035,Ellevio AB,"2361",Härjedalen,Ellevio AB,ellevio.se,,0771-53 53 00,
1952EA,52,REL00576,Härjeåns Nät AB,"2361",Härjedalen,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
35CR,24,REL03035,Ellevio AB,"2361",Härjedalen,Ellevio AB,ellevio.se,,0771-53 53 00,
4694AF,20,REL03035,Ellevio AB,"2361",Härjedalen,Ellevio AB,ellevio.se,,0771-53 53 00,
294IT,20,REL00015,Bodens Energi Nät AB,"2523",Gällivare,Bodens Energi Nät AB,bodensenergi.se,info@bodensenergi.se,0921-582 00,"Slipvägen 7, 961 38 Boden"
506O,20,REL00590,LKAB Nät AB,"2523",Gällivare,LKAB Nät AB,lkab.com/vilka-vi-ar/lkab-nat,kundtjanstlkabnat@vattenfall.com,0920-773 31,"Box 952, 971 28 Luleå"
8600B,20,REL03030,Vattenfall Eldistribution AB,"2523",Gällivare,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600H,20,REL03030,Vattenfall Eldistribution AB,"2523",Gällivare,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600K,20,REL03030,Vattenfall Eldistribution AB,"2523",Gällivare,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600L,20,REL03030,Vattenfall Eldistribution AB,"2523",Gällivare,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600S,20,REL03030,Vattenfall Eldistribution AB,"2523",Gällivare,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1517DP,20,REL03035,Ellevio AB,"2039",Älvdalen,Ellevio AB,ellevio.se,,0771-53 53 00,
1952EA,52,REL00576,Härjeåns Nät AB,"2039",Älvdalen,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
35DG,20,REL03035,Ellevio AB,"2039",Älvdalen,Ellevio AB,ellevio.se,,0771-53 53 00,
"11116",36,REL00123,Malung-Sälens Elnät AB,"2039",Älvdalen,Malung-Sälens Elnät AB,malungselnat.se,kundservice@msen.se,0280-442 00,"Box 4, 782 21 Malung"
2118BG,70,REL00945,Gotlands Elnät AB,"0980",Gotland,Gotlands Elnät AB,gotlandsenergi.se,kontakt@geab.vattenfall.se,0498-28 50 00,"Västra Törnekvior 4, 621 43 Visby"
8600B,20,REL03030,Vattenfall Eldistribution AB,"2506",Arjeplog,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600F,20,REL03030,Vattenfall Eldistribution AB,"2506",Arjeplog,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600I,20,REL03030,Vattenfall Eldistribution AB,"2506",Arjeplog,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2506",Arjeplog,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1952EA,52,REL00576,Härjeåns Nät AB,"2313",Strömsund,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
380CIB,20,REL03028,E.ON Energidistribution AB,"2313",Strömsund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
406GU,20,REL03028,E.ON Energidistribution AB,"2313",Strömsund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4CH,40,REL00085,Jämtkraft Elnät AB,"2313",Strömsund,Jämtkraft Elnät AB,jamtkraft.se,info@jamtkraft.se,063-14 90 00,"Kyrkgatan 21, 831 25 Östersund"
6349Ö,20,REL00014,Blåsjön Nät AB,"2313",Strömsund,Blåsjön Nät AB,blasjonnat.se,info@blasjonnat.se,0680-242 00,"Sörmovägen 1, Box 129, 842 22 Sveg"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2313",Strömsund,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1952EA,52,REL00576,Härjeåns Nät AB,"2283",Sollefteå,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
1978U,20,REL03028,E.ON Energidistribution AB,"2283",Sollefteå,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CIB,20,REL03028,E.ON Energidistribution AB,"2283",Sollefteå,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
406GU,20,REL03028,E.ON Energidistribution AB,"2283",Sollefteå,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
5586U,20,REL03028,E.ON Energidistribution AB,"2283",Sollefteå,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
8600Q,20,REL03030,Vattenfall Eldistribution AB,"2283",Sollefteå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1376CK,20,REL03028,E.ON Energidistribution AB,"1262",Lomma,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
365DG,50,REL03028,E.ON Energidistribution AB,"1262",Lomma,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
"11213",24,REL00886,Kraftringen Nät AB,"1262",Lomma,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
401BG,20,REL00886,Kraftringen Nät AB,"1262",Lomma,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
1698AB,20,REL00824,Skellefteå Kraft Elnät AB,"2482",Skellefteå,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
1834AE,20,REL03046,PiteEnergi Elnät AB,"2482",Skellefteå,PiteEnergi Elnät AB,piteenergi.se,kundservice@piteenergi.se,0911-648 00,"Västra kajvägen 1, 941 28 Piteå"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2482",Skellefteå,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
8600I,20,REL03030,Vattenfall Eldistribution AB,"2482",Skellefteå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1275Aa,20,REL00959,Åsele Elnät AB,"2462",Vilhelmina,Åsele Elnät AB,aselekraft.net,info@aselekraft.net,0941-100 03,"Centralgatan 31, 919 31 Åsele"
1698AB,20,REL00824,Skellefteå Kraft Elnät AB,"2462",Vilhelmina,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
406GU,20,REL03028,E.ON Energidistribution AB,"2462",Vilhelmina,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
8600N,22,REL03030,Vattenfall Eldistribution AB,"2462",Vilhelmina,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
2373AM,20,REL00257,Övik Energi Nät AB,"2284",Örnsköldsvik,Övik Energi Nät AB,ovikenergi.se,kundservice@ovikenergi.se,0660-888 00,"Box 11, 891 21 Örnsköldsvik"
406GU,20,REL03028,E.ON Energidistribution AB,"2284",Örnsköldsvik,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
8600N,22,REL03030,Vattenfall Eldistribution AB,"2284",Örnsköldsvik,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"11004",24,REL03030,Vattenfall Eldistribution AB,"2284",Örnsköldsvik,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600Q,20,REL03030,Vattenfall Eldistribution AB,"2284",Örnsköldsvik,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"10870",52,REL00008,Bergs Tingslags Elektriska AB,"2321",Åre,Bergs Tingslags Elektriska AB,btea.se,info@btea.se,0771-44 44 41,"Olstavägen 26, 845 51 Åsarna"
1952EA,52,REL00576,Härjeåns Nät AB,"2321",Åre,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
4CH,40,REL00085,Jämtkraft Elnät AB,"2321",Åre,Jämtkraft Elnät AB,jamtkraft.se,info@jamtkraft.se,063-14 90 00,"Kyrkgatan 21, 831 25 Östersund"
1698AB,20,REL00824,Skellefteå Kraft Elnät AB,"2421",Storuman,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2421",Storuman,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
104FA,40,REL00118,Luleå Energi Elnät AB,"2581",Piteå,Luleå Energi Elnät AB,luleaenergi.se,info@luleaenergi.se,0920-26 44 00,"Björkskataleden 95, 973 47 Luleå"
1834AE,20,REL03046,PiteEnergi Elnät AB,"2581",Piteå,PiteEnergi Elnät AB,piteenergi.se,kundservice@piteenergi.se,0911-648 00,"Västra kajvägen 1, 941 28 Piteå"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2581",Piteå,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
8600E,20,REL03030,Vattenfall Eldistribution AB,"2581",Piteå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600I,20,REL03030,Vattenfall Eldistribution AB,"2581",Piteå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600H,20,REL03030,Vattenfall Eldistribution AB,"2521",Pajala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600K,20,REL03030,Vattenfall Eldistribution AB,"2521",Pajala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600L,20,REL03030,Vattenfall Eldistribution AB,"2521",Pajala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600S,20,REL03030,Vattenfall Eldistribution AB,"2521",Pajala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2422",Sorsele,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
8600F,20,REL03030,Vattenfall Eldistribution AB,"2422",Sorsele,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2422",Sorsele,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
153BK,110,REL03035,Ellevio AB,"0184",Solna,Ellevio AB,ellevio.se,,0771-53 53 00,
1799R,20,REL00173,Sollentuna Energi och Miljö AB,"0184",Solna,Sollentuna Energi och Miljö AB,seom.se,info@seom.se,08-623 88 00,"Box 972, 191 29 Sollentuna"
7413T,20,REL03028,E.ON Energidistribution AB,"0184",Solna,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
