,"Electricity price (SE1, SEK/MWh)","Electricity price (SE2, SEK/MWh)","Electricity price (SE3, SEK/MWh)","Electricity price (SE4, SEK/MWh)"
2019-01-01 00:00:00,103.2,103.2,103.2,103.2
2019-01-01 01:00:00,102.69999999999999,102.69999999999999,102.69999999999999,102.69999999999999
2019-01-01 02:00:00,46.7,46.7,46.7,46.7
2019-01-01 03:00:00,49.5,49.5,49.5,49.5
2019-01-01 04:00:00,82.89999999999999,82.89999999999999,82.89999999999999,82.89999999999999
2019-01-01 05:00:00,261.6,261.6,261.6,261.6
2019-01-01 06:00:00,401.1,401.1,401.1,401.1
2019-01-01 07:00:00,385.79999999999995,385.79999999999995,385.79999999999995,385.79999999999995
2019-01-01 08:00:00,220.39999999999998,220.39999999999998,220.39999999999998,220.39999999999998
2019-01-01 09:00:00,289.40000000000003,289.40000000000003,289.40000000000003,289.40000000000003
2019-01-01 10:00:00,197.60000000000002,197.60000000000002,197.60000000000002,197.60000000000002
2019-01-01 11:00:00,197.89999999999998,197.89999999999998,197.89999999999998,197.89999999999998
2019-01-01 12:00:00,166.0,166.0,166.0,166.0
2019-01-01 13:00:00,219.89999999999998,219.89999999999998,219.89999999999998,219.89999999999998
2019-01-01 14:00:00,334.79999999999995,334.79999999999995,334.79999999999995,334.79999999999995
2019-01-01 15:00:00,300.5,300.5,300.5,300.5
2019-01-01 16:00:00,309.20000000000005,309.20000000000005,309.20000000000005,309.20000000000005
2019-01-01 17:00:00,308.2,308.2,308.2,308.2
2019-01-01 18:00:00,303.0,303.0,303.0,303.0
2019-01-01 19:00:00,378.1,378.1,378.1,378.1
2019-01-01 20:00:00,339.4,339.4,339.4,339.4
2019-01-01 21:00:00,221.4,221.4,221.4,221.4
2019-01-01 22:00:00,41.4,41.4,41.4,41.4
2019-01-01 23:00:00,99.0,99.0,99.0,99.0
2019-01-02 00:00:00,64.5,64.5,64.5,64.5
2019-01-02 01:00:00,44.400000000000006,44.400000000000006,44.400000000000006,44.400000000000006
2019-01-02 02:00:00,89.9,89.9,89.9,89.9
2019-01-02 03:00:00,231.29999999999998,231.29999999999998,231.29999999999998,231.29999999999998
2019-01-02 04:00:00,441.59999999999997,441.59999999999997,441.59999999999997,441.59999999999997
2019-01-02 05:00:00,455.5,455.5,455.5,455.5
2019-01-02 06:00:00,506.5,506.5,506.5,506.5
2019-01-02 07:00:00,509.79999999999995,509.79999999999995,509.79999999999995,509.79999999999995
2019-01-02 08:00:00,517.8,517.8,517.8,517.8
2019-01-02 09:00:00,510.09999999999997,510.09999999999997,510.09999999999997,510.09999999999997
2019-01-02 10:00:00,512.8,512.8,512.8,512.8
2019-01-02 11:00:00,509.6,509.6,509.6,509.6
2019-01-02 12:00:00,509.90000000000003,509.90000000000003,509.90000000000003,509.90000000000003
2019-01-02 13:00:00,519.7,519.7,519.7,519.7
2019-01-02 14:00:00,534.5,534.5,534.5,534.5
2019-01-02 15:00:00,557.9,557.9,557.9,557.9
2019-01-02 16:00:00,567.2,567.2,567.2,567.2
2019-01-02 17:00:00,565.2,565.2,565.2,565.2
2019-01-02 18:00:00,560.2,560.2,560.2,560.2
2019-01-02 19:00:00,549.6,549.6,549.6,549.6
2019-01-02 20:00:00,537.9,537.9,537.9,537.9
2019-01-02 21:00:00,531.5,531.5,531.5,531.5
2019-01-02 22:00:00,518.0,518.0,518.0,518.0
2019-01-02 23:00:00,508.5,508.5,508.5,508.5
2019-01-03 00:00:00,499.20000000000005,499.20000000000005,499.20000000000005,499.20000000000005
2019-01-03 01:00:00,493.29999999999995,493.29999999999995,493.29999999999995,493.29999999999995
2019-01-03 02:00:00,494.20000000000005,494.20000000000005,494.20000000000005,494.20000000000005
2019-01-03 03:00:00,498.2,498.2,498.2,498.2
2019-01-03 04:00:00,506.5,506.5,506.5,506.5
2019-01-03 05:00:00,522.5,522.5,522.5,522.5
2019-01-03 06:00:00,550.4,550.4,550.4,550.4
2019-01-03 07:00:00,561.1999999999999,561.1999999999999,601.0,601.0
2019-01-03 08:00:00,554.0999999999999,554.0999999999999,603.8000000000001,603.8000000000001
2019-01-03 09:00:00,549.2,549.2,594.0999999999999,594.0999999999999
2019-01-03 10:00:00,543.6999999999999,543.6999999999999,627.6,627.6
2019-01-03 11:00:00,542.7,542.7,633.0,633.0
2019-01-03 12:00:00,537.2,537.2,644.5,644.5
2019-01-03 13:00:00,537.4,537.4,650.1,650.1
2019-01-03 14:00:00,538.0,538.0,675.1999999999999,675.1999999999999
2019-01-03 15:00:00,539.6,539.6,698.5,698.5
2019-01-03 16:00:00,536.9,536.9,710.1,710.1
2019-01-03 17:00:00,533.3,533.3,670.5,670.5
2019-01-03 18:00:00,534.3,534.3,628.0,628.0
2019-01-03 19:00:00,544.6,544.6,572.2,588.1
2019-01-03 20:00:00,552.1,552.1,555.8,555.8
2019-01-03 21:00:00,531.9,531.9,531.9,531.9
2019-01-03 22:00:00,510.3,510.3,510.3,510.3
2019-01-03 23:00:00,513.2,513.2,513.2,513.2
2019-01-04 00:00:00,493.6,493.6,493.6,493.6
2019-01-04 01:00:00,484.4,484.4,484.4,484.4
2019-01-04 02:00:00,484.20000000000005,484.20000000000005,484.20000000000005,484.20000000000005
2019-01-04 03:00:00,488.1,488.1,488.1,488.1
2019-01-04 04:00:00,499.90000000000003,499.90000000000003,499.90000000000003,499.90000000000003
2019-01-04 05:00:00,523.5,523.5,523.5,523.5
2019-01-04 06:00:00,534.7,534.7,538.4000000000001,555.6
2019-01-04 07:00:00,541.4,541.4,560.2,560.2
2019-01-04 08:00:00,547.4,547.4,557.5,557.5
2019-01-04 09:00:00,550.8,550.8,554.7,554.7
2019-01-04 10:00:00,545.5,545.5,545.5,545.5
2019-01-04 11:00:00,532.4,532.4,532.4,532.4
2019-01-04 12:00:00,531.0,531.0,531.0,531.0
2019-01-04 13:00:00,529.0,529.0,529.0,529.0
2019-01-04 14:00:00,531.9,531.9,531.9,531.9
2019-01-04 15:00:00,541.1999999999999,541.1999999999999,541.1999999999999,541.1999999999999
2019-01-04 16:00:00,548.9,548.9,548.9,548.9
2019-01-04 17:00:00,543.4000000000001,543.4000000000001,543.4000000000001,543.4000000000001
2019-01-04 18:00:00,532.9,532.9,532.9,532.9
2019-01-04 19:00:00,525.2,525.2,525.2,525.2
2019-01-04 20:00:00,519.2,519.2,519.2,519.2
2019-01-04 21:00:00,512.4,512.4,512.4,512.4
2019-01-04 22:00:00,504.4,504.4,504.4,504.4
2019-01-04 23:00:00,496.3,496.3,496.3,496.3
2019-01-05 00:00:00,487.0,487.0,487.0,487.0
2019-01-05 01:00:00,483.7,483.7,483.7,483.7
2019-01-05 02:00:00,481.70000000000005,481.70000000000005,481.70000000000005,481.70000000000005
2019-01-05 03:00:00,481.8,481.8,481.8,481.8
2019-01-05 04:00:00,485.09999999999997,485.09999999999997,485.09999999999997,485.09999999999997
2019-01-05 05:00:00,487.8,487.8,487.8,487.8
2019-01-05 06:00:00,494.20000000000005,494.20000000000005,494.20000000000005,494.20000000000005
2019-01-05 07:00:00,512.4,512.4,512.4,512.4
2019-01-05 08:00:00,520.0,520.0,520.0,520.0
2019-01-05 09:00:00,522.0,522.0,522.0,522.0
2019-01-05 10:00:00,522.9,522.9,522.9,522.9
2019-01-05 11:00:00,526.4,526.4,526.4,526.4
2019-01-05 12:00:00,530.3,530.3,530.3,530.3
2019-01-05 13:00:00,532.2,532.2,532.2,532.2
2019-01-05 14:00:00,545.5,545.5,545.5,545.5
2019-01-05 15:00:00,566.4,566.4,566.4,566.4
2019-01-05 16:00:00,572.6,572.6,572.6,572.6
2019-01-05 17:00:00,566.4,566.4,566.4,616.5999999999999
2019-01-05 18:00:00,551.4,551.4,551.4,594.6
2019-01-05 19:00:00,540.7,540.7,540.7,540.7
2019-01-05 20:00:00,531.9,531.9,531.9,531.9
2019-01-05 21:00:00,524.0,524.0,524.0,524.0
2019-01-05 22:00:00,514.6,514.6,514.6,514.6
2019-01-05 23:00:00,513.8000000000001,513.8000000000001,513.8000000000001,513.8000000000001
2019-01-06 00:00:00,500.90000000000003,500.90000000000003,500.90000000000003,500.90000000000003
2019-01-06 01:00:00,498.6,498.6,498.6,498.6
2019-01-06 02:00:00,497.1,497.1,497.1,497.1
2019-01-06 03:00:00,488.5,488.5,488.5,488.5
2019-01-06 04:00:00,497.70000000000005,497.70000000000005,497.70000000000005,497.70000000000005
2019-01-06 05:00:00,504.5,504.5,504.5,504.5
2019-01-06 06:00:00,507.2,507.2,507.2,507.2
2019-01-06 07:00:00,515.3,515.3,515.3,515.3
2019-01-06 08:00:00,528.0,528.0,528.0,528.0
2019-01-06 09:00:00,534.8,534.8,534.8,534.8
2019-01-06 10:00:00,539.0999999999999,539.0999999999999,539.0999999999999,539.0999999999999
2019-01-06 11:00:00,540.0,540.0,540.0,540.0
2019-01-06 12:00:00,535.7,535.7,535.7,535.7
2019-01-06 13:00:00,526.3000000000001,526.3000000000001,526.3000000000001,526.3000000000001
2019-01-06 14:00:00,526.8,526.8,526.8,526.8
2019-01-06 15:00:00,544.3,544.3,544.3,545.5
2019-01-06 16:00:00,545.6,545.6,564.4,632.5
2019-01-06 17:00:00,542.4,542.4,554.2,626.8
2019-01-06 18:00:00,537.6,537.6,540.4,598.4000000000001
2019-01-06 19:00:00,530.7,530.7,530.7,530.7
2019-01-06 20:00:00,526.8,526.8,526.8,526.8
2019-01-06 21:00:00,518.0,518.0,518.0,518.0
2019-01-06 22:00:00,510.20000000000005,510.20000000000005,510.20000000000005,510.20000000000005
2019-01-06 23:00:00,496.70000000000005,496.70000000000005,496.70000000000005,496.70000000000005
2019-01-07 00:00:00,490.20000000000005,490.20000000000005,490.20000000000005,490.20000000000005
2019-01-07 01:00:00,488.7,488.7,488.7,488.7
2019-01-07 02:00:00,479.7,479.7,479.7,479.7
2019-01-07 03:00:00,491.3,491.3,491.3,491.3
2019-01-07 04:00:00,509.5,509.5,509.5,509.5
2019-01-07 05:00:00,538.8000000000001,538.8000000000001,538.8000000000001,546.5999999999999
2019-01-07 06:00:00,540.9000000000001,540.9000000000001,580.2,684.2
2019-01-07 07:00:00,545.9000000000001,545.9000000000001,591.9,744.2
2019-01-07 08:00:00,546.0,546.0,581.3000000000001,747.0999999999999
2019-01-07 09:00:00,546.4,546.4,575.0,738.8
2019-01-07 10:00:00,547.8,547.8,567.6,710.1999999999999
2019-01-07 11:00:00,548.3,548.3,563.3,685.8
2019-01-07 12:00:00,550.2,550.2,553.3,665.6
2019-01-07 13:00:00,548.9,548.9,548.9,623.0
2019-01-07 14:00:00,544.0,544.0,544.0,544.0
2019-01-07 15:00:00,544.0999999999999,544.0999999999999,544.0999999999999,544.0999999999999
2019-01-07 16:00:00,541.4,541.4,541.4,541.4
2019-01-07 17:00:00,524.3,524.3,524.3,524.3
2019-01-07 18:00:00,519.9,519.9,519.9,519.9
2019-01-07 19:00:00,516.9,516.9,516.9,516.9
2019-01-07 20:00:00,511.1,511.1,511.1,511.1
2019-01-07 21:00:00,501.70000000000005,501.70000000000005,501.70000000000005,501.70000000000005
2019-01-07 22:00:00,477.59999999999997,477.59999999999997,477.59999999999997,477.59999999999997
2019-01-07 23:00:00,480.20000000000005,480.20000000000005,480.20000000000005,480.20000000000005
2019-01-08 00:00:00,474.0,474.0,474.0,474.0
2019-01-08 01:00:00,473.0,473.0,473.0,473.0
2019-01-08 02:00:00,473.40000000000003,473.40000000000003,473.40000000000003,473.40000000000003
2019-01-08 03:00:00,477.70000000000005,477.70000000000005,477.70000000000005,477.70000000000005
2019-01-08 04:00:00,489.6,489.6,489.6,489.6
2019-01-08 05:00:00,512.3,512.3,512.3,512.3
2019-01-08 06:00:00,524.9,524.9,524.9,524.9
2019-01-08 07:00:00,528.9,528.9,528.9,528.9
2019-01-08 08:00:00,526.5999999999999,526.5999999999999,526.5999999999999,526.5999999999999
2019-01-08 09:00:00,526.5999999999999,526.5999999999999,526.5999999999999,526.5999999999999
2019-01-08 10:00:00,523.8000000000001,523.8000000000001,523.8000000000001,523.8000000000001
2019-01-08 11:00:00,520.5,520.5,520.5,520.5
2019-01-08 12:00:00,517.9,517.9,517.9,517.9
2019-01-08 13:00:00,518.6,518.6,518.6,518.6
2019-01-08 14:00:00,518.5,518.5,518.5,518.5
2019-01-08 15:00:00,523.2,523.2,523.2,523.2
2019-01-08 16:00:00,522.2,522.2,522.2,522.2
2019-01-08 17:00:00,517.8,517.8,517.8,517.8
2019-01-08 18:00:00,511.3,511.3,511.3,511.3
2019-01-08 19:00:00,508.5,508.5,508.5,508.5
2019-01-08 20:00:00,506.2,506.2,506.2,506.2
2019-01-08 21:00:00,501.59999999999997,501.59999999999997,501.59999999999997,501.59999999999997
2019-01-08 22:00:00,475.20000000000005,475.20000000000005,475.20000000000005,475.20000000000005
2019-01-08 23:00:00,465.6,465.6,465.6,465.6
2019-01-09 00:00:00,452.0,452.0,452.0,452.0
2019-01-09 01:00:00,446.5,446.5,446.5,446.5
2019-01-09 02:00:00,447.1,447.1,447.1,447.1
2019-01-09 03:00:00,463.6,463.6,463.6,463.6
2019-01-09 04:00:00,488.8,488.8,488.8,488.8
2019-01-09 05:00:00,503.29999999999995,503.29999999999995,503.29999999999995,503.29999999999995
2019-01-09 06:00:00,516.4,516.4,516.4,516.4
2019-01-09 07:00:00,518.8000000000001,518.8000000000001,518.8000000000001,518.8000000000001
2019-01-09 08:00:00,518.4000000000001,518.4000000000001,518.4000000000001,518.4000000000001
2019-01-09 09:00:00,519.2,519.2,519.2,519.2
2019-01-09 10:00:00,518.6,518.6,518.6,518.6
2019-01-09 11:00:00,516.5999999999999,516.5999999999999,516.5999999999999,516.5999999999999
2019-01-09 12:00:00,515.9000000000001,515.9000000000001,515.9000000000001,515.9000000000001
2019-01-09 13:00:00,517.8,517.8,517.8,517.8
2019-01-09 14:00:00,523.3,523.3,523.3,523.3
2019-01-09 15:00:00,546.4,546.4,546.4,546.4
2019-01-09 16:00:00,555.6,555.6,555.6,555.6
2019-01-09 17:00:00,551.5,551.5,551.5,551.5
2019-01-09 18:00:00,551.5,551.5,551.5,551.5
2019-01-09 19:00:00,539.2,539.2,539.2,539.2
2019-01-09 20:00:00,525.9000000000001,525.9000000000001,525.9000000000001,525.9000000000001
2019-01-09 21:00:00,518.6,518.6,518.6,518.6
2019-01-09 22:00:00,508.40000000000003,508.40000000000003,508.40000000000003,508.40000000000003
2019-01-09 23:00:00,516.4,516.4,516.4,516.4
2019-01-10 00:00:00,511.0,511.0,511.0,511.0
2019-01-10 01:00:00,506.59999999999997,506.59999999999997,506.59999999999997,506.59999999999997
2019-01-10 02:00:00,511.0,511.0,511.0,511.0
2019-01-10 03:00:00,510.6,510.6,510.6,510.6
2019-01-10 04:00:00,530.6,530.6,530.6,530.6
2019-01-10 05:00:00,518.6999999999999,518.6999999999999,578.8000000000001,578.8000000000001
