Tidsperiod,"Electricity price (SE1, SEK/MWh)","Electricity price (SE2, SEK/MWh)","Electricity price (SE3, SEK/MWh)","Electricity price (SE4, SEK/MWh)"
2021-01-01 00:00:00+01:00,250.79999999999998,250.79999999999998,250.79999999999998,250.79999999999998
2021-01-01 01:00:00+01:00,244.7,244.7,244.7,244.7
2021-01-01 02:00:00+01:00,241.0,241.0,241.0,241.0
2021-01-01 03:00:00+01:00,238.4,238.4,238.4,238.4
2021-01-01 04:00:00+01:00,238.5,238.5,238.5,238.5
2021-01-01 05:00:00+01:00,241.8,241.8,241.8,241.8
2021-01-01 06:00:00+01:00,245.6,245.6,245.6,245.6
2021-01-01 07:00:00+01:00,250.6,250.6,250.6,250.6
2021-01-01 08:00:00+01:00,250.2,250.2,250.2,250.2
2021-01-01 09:00:00+01:00,252.0,252.0,252.0,252.0
2021-01-01 10:00:00+01:00,257.6,257.6,257.6,301.70000000000005
2021-01-01 11:00:00+01:00,260.5,260.5,260.5,373.29999999999995
2021-01-01 12:00:00+01:00,262.6,262.6,262.6,392.5
2021-01-01 13:00:00+01:00,267.0,267.0,267.0,407.9
2021-01-01 14:00:00+01:00,274.40000000000003,274.40000000000003,274.40000000000003,410.0
2021-01-01 15:00:00+01:00,287.5,287.5,287.5,457.0
2021-01-01 16:00:00+01:00,304.0,304.0,304.0,519.8
2021-01-01 17:00:00+01:00,303.4,303.4,303.4,556.7
2021-01-01 18:00:00+01:00,289.6,289.6,289.6,532.8
2021-01-01 19:00:00+01:00,283.9,283.9,283.9,560.2
2021-01-01 20:00:00+01:00,274.6,274.6,274.6,552.2
2021-01-01 21:00:00+01:00,271.2,271.2,271.2,510.79999999999995
2021-01-01 22:00:00+01:00,265.7,265.7,265.7,454.5
2021-01-01 23:00:00+01:00,257.7,257.7,257.7,257.7
2021-01-02 00:00:00+01:00,257.2,257.2,257.2,257.2
2021-01-02 01:00:00+01:00,250.39999999999998,250.39999999999998,250.39999999999998,250.39999999999998
2021-01-02 02:00:00+01:00,248.6,248.6,248.6,248.6
2021-01-02 03:00:00+01:00,247.8,247.8,247.8,247.8
2021-01-02 04:00:00+01:00,248.4,248.4,248.4,248.4
2021-01-02 05:00:00+01:00,250.39999999999998,250.39999999999998,250.39999999999998,250.39999999999998
2021-01-02 06:00:00+01:00,257.5,257.5,257.5,302.0
2021-01-02 07:00:00+01:00,263.2,263.2,263.2,263.2
2021-01-02 08:00:00+01:00,281.6,281.6,281.6,435.20000000000005
2021-01-02 09:00:00+01:00,277.9,277.9,277.9,480.90000000000003
2021-01-02 10:00:00+01:00,289.8,289.8,289.8,510.0
2021-01-02 11:00:00+01:00,299.1,299.1,299.1,511.59999999999997
2021-01-02 12:00:00+01:00,287.6,287.6,287.6,540.2
2021-01-02 13:00:00+01:00,288.6,288.6,288.6,510.0
2021-01-02 14:00:00+01:00,290.4,290.4,290.4,497.29999999999995
2021-01-02 15:00:00+01:00,399.4,399.4,399.4,524.2
2021-01-02 16:00:00+01:00,591.8,591.8,591.8,591.8
2021-01-02 17:00:00+01:00,608.1,608.1,608.1,608.1
2021-01-02 18:00:00+01:00,601.4,601.4,601.4,618.6999999999999
2021-01-02 19:00:00+01:00,300.9,300.9,300.9,564.5
2021-01-02 20:00:00+01:00,275.2,275.2,275.2,552.9
2021-01-02 21:00:00+01:00,271.0,271.0,271.0,528.6
2021-01-02 22:00:00+01:00,269.8,269.8,269.8,473.7
2021-01-02 23:00:00+01:00,260.7,260.7,260.7,397.59999999999997
2021-01-03 00:00:00+01:00,254.0,254.0,254.0,254.0
2021-01-03 01:00:00+01:00,247.10000000000002,247.10000000000002,247.10000000000002,247.10000000000002
2021-01-03 02:00:00+01:00,239.8,239.8,239.8,239.8
2021-01-03 03:00:00+01:00,236.9,236.9,236.9,236.9
2021-01-03 04:00:00+01:00,236.1,236.1,236.1,236.1
2021-01-03 05:00:00+01:00,239.7,239.7,239.7,239.7
2021-01-03 06:00:00+01:00,241.70000000000002,241.70000000000002,241.70000000000002,241.70000000000002
2021-01-03 07:00:00+01:00,249.20000000000002,249.20000000000002,249.20000000000002,249.20000000000002
2021-01-03 08:00:00+01:00,251.0,251.0,251.0,251.0
2021-01-03 09:00:00+01:00,257.8,257.8,257.8,257.8
2021-01-03 10:00:00+01:00,261.3,261.3,261.3,261.3
2021-01-03 11:00:00+01:00,262.0,262.0,262.0,270.2
2021-01-03 12:00:00+01:00,260.0,260.0,260.0,260.0
2021-01-03 13:00:00+01:00,259.6,259.6,259.6,259.6
2021-01-03 14:00:00+01:00,261.5,261.5,261.5,261.5
2021-01-03 15:00:00+01:00,266.3,266.3,266.3,266.3
2021-01-03 16:00:00+01:00,281.90000000000003,281.90000000000003,281.90000000000003,334.4
2021-01-03 17:00:00+01:00,286.70000000000005,286.70000000000005,286.70000000000005,441.8
2021-01-03 18:00:00+01:00,283.09999999999997,283.09999999999997,283.09999999999997,435.7
2021-01-03 19:00:00+01:00,280.59999999999997,280.59999999999997,280.59999999999997,280.59999999999997
2021-01-03 20:00:00+01:00,277.0,277.0,277.0,277.0
2021-01-03 21:00:00+01:00,271.8,271.8,271.8,271.8
